word_count,date
16,2021-10-13 22:06:31
19,2021-10-13 22:05:47
5,2021-10-13 22:05:44
14,2021-10-13 22:05:23
29,2021-10-13 22:04:47
7,2021-10-13 22:04:39
52,2021-10-13 22:04:13
27,2021-10-13 22:03:59
37,2021-10-13 22:03:54
43,2021-10-12 15:45:35
14,2021-10-12 15:39:38
22,2021-10-12 15:39:23
3,2021-10-12 15:38:37
27,2021-10-12 15:37:41
17,2021-10-12 15:37:18
26,2021-10-12 15:37:13
83,2021-10-12 15:35:36
5,2021-10-12 15:34:59
38,2021-10-12 15:34:57
39,2021-10-12 15:34:48
30,2021-10-12 15:34:37
35,2021-10-12 15:34:30
22,2021-10-12 15:33:29
43,2021-10-12 15:28:48
15,2021-10-12 15:28:31
18,2021-10-12 15:27:18
21,2021-10-09 18:39:32
22,2021-10-09 18:39:27
9,2021-10-09 18:36:47
28,2021-10-09 18:35:35
6,2021-10-09 18:35:29
29,2021-10-09 18:35:28
32,2021-10-09 18:35:21
26,2021-10-09 18:34:43
6,2021-10-09 18:34:39
15,2021-10-09 18:32:06
24,2021-10-09 18:31:56
53,2021-10-09 18:30:28
41,2021-10-09 18:30:18
5,2021-10-09 18:30:09
21,2021-10-09 18:30:08
33,2021-10-09 18:29:24
29,2021-10-09 18:29:18
0,2021-10-09 18:23:24
50,2021-10-08 09:43:53
25,2021-10-08 09:43:41
46,2021-10-04 11:23:16
2,2021-10-02 11:50:42
10,2021-10-02 11:50:41
17,2021-10-02 11:50:31
15,2021-10-02 11:50:28
43,2021-10-02 11:50:00
43,2021-10-02 11:47:56
9,2021-10-01 17:13:53
30,2021-10-01 17:13:51
14,2021-10-01 17:12:08
25,2021-10-01 17:12:05
10,2021-10-01 17:11:57
37,2021-10-01 17:11:08
25,2021-10-01 17:11:01
43,2021-10-01 17:08:03
0,2021-09-27 01:16:25
8,2021-09-26 23:54:27
17,2021-09-26 23:51:46
0,2021-09-26 23:49:21
0,2021-09-26 23:46:02
0,2021-09-26 23:41:18
30,2021-09-26 16:49:00
43,2021-09-18 15:43:23
80,2021-09-17 00:50:35
13,2021-09-17 00:50:15
41,2021-09-17 00:50:13
54,2021-09-17 00:50:02
0,2021-09-17 00:49:43
68,2021-09-17 00:16:15
5,2021-09-17 00:16:08
36,2021-09-17 00:16:07
74,2021-09-17 00:14:55
12,2021-09-17 00:14:32
39,2021-09-17 00:14:28
32,2021-09-17 00:14:17
126,2021-09-17 00:14:05
10,2021-09-17 00:13:32
5,2021-09-17 00:13:21
24,2021-09-17 00:12:32
31,2021-09-17 00:12:26
0,2021-09-17 00:11:15
5,2021-09-16 18:23:27
10,2021-09-16 18:22:53
35,2021-09-16 18:09:50
9,2021-09-16 18:07:50
28,2021-09-16 18:06:49
3,2021-09-16 18:06:42
38,2021-09-15 23:25:38
54,2021-09-15 23:25:24
5,2021-09-15 23:25:01
27,2021-09-15 23:24:28
21,2021-09-15 22:55:59
44,2021-09-15 22:55:54
14,2021-09-15 22:55:41
29,2021-09-15 22:54:25
65,2021-09-15 22:54:19
16,2021-09-15 22:54:01
12,2021-09-15 22:53:54
24,2021-09-15 22:53:51
11,2021-09-15 22:53:37
41,2021-09-15 22:52:36
57,2021-09-15 22:51:45
28,2021-09-15 22:50:54
43,2021-09-15 22:50:48
5,2021-09-15 22:50:34
46,2021-09-15 22:50:04
2,2021-09-15 22:49:51
137,2021-09-15 22:49:48
29,2021-09-15 22:48:26
30,2021-09-15 22:48:18
9,2021-09-15 22:48:06
5,2021-09-15 22:48:04
1,2021-09-15 22:46:38
19,2021-09-15 22:46:37
3,2021-09-15 22:46:34
17,2021-09-15 22:46:22
19,2021-09-15 22:46:09
54,2021-09-15 22:46:01
34,2021-09-15 22:45:21
28,2021-09-15 22:45:12
45,2021-09-15 22:44:25
13,2021-09-15 22:44:15
