"ts","artistName","trackName","ms_played"
"2021-01-08 18:42","Playboi Carti","F33l Lik3 Dyin",204436
"2021-01-08 18:45","Playboi Carti","Control",197789
"2021-01-08 18:48","Playboi Carti","Slay3r",164590
"2021-01-08 18:52","Playboi Carti","M3tamorphosis (feat. Kid Cudi)",260686
"2021-01-08 18:52","Playboi Carti","Slay3r",3622
"2021-01-08 18:54","Playboi Carti","Slay3r",98389
"2021-01-08 19:06","Dycha","SATYSFEKSZYN",91349
"2021-01-08 19:08","Masno","TECHNO POLO",43242
"2021-01-08 19:10","Masno","D jak DYCHA",109017
"2021-01-08 19:24","Masno","Wakacyjna Przygoda",173895
"2021-01-08 19:25","KRS-One","Sound of da Police",36458
"2021-01-09 14:08","KRS-One","Sound of da Police",8064
"2021-01-09 14:08","Masno","GANG",768
"2021-01-10 23:56","KRS-One","Sound of da Police",51114
"2021-01-10 23:58","slowthai","MAZZA (feat. A$AP Rocky)",116821
"2021-01-10 23:58","KRS-One","Sound of da Police",15594
"2021-01-11 00:01","JAY-Z","Otis",178213
"2021-01-11 00:03","Tom Rosenthal","It's Ok",0
"2021-01-11 00:03","¯abson","Floyd Mayweather",79825
"2021-01-11 00:05","Metronomy","The Look",145408
"2021-01-11 00:08","Malik Montana","Mordo Wez",137419
"2021-01-11 00:09","Deemz","I Took A Pill In Remiza",58794
"2021-01-11 00:11","Malik Montana","Rundki (feat. Diho, Alberto & Bibic)",94037
"2021-01-11 00:13","Ram Di Dam","Flashbacks",148074
"2021-01-11 00:14","Mellow Fellow","Dancing",5098
"2021-01-11 00:14","Masno","MAMALE",9344
"2021-01-11 00:14","The Cribs","Mirror Kissers",3925
"2021-01-11 00:14","The Cribs","Mirror Kissers",0
"2021-01-11 00:14","Voxtrot","The Start Of Something",2730
"2021-01-11 00:14","Louis Armstrong","Hello, Dolly!",19818
"2021-01-11 00:16","Masno","PASTERKA",133397
"2021-01-11 00:17","Foster The People","Call It What You Want",37674
"2021-01-11 00:20","Kanye West","Real Friends",174634
"2021-01-11 00:20","Nelly Furtado","Promiscuous",29674
"2021-01-11 00:21","Caribou","Odessa",8789
"2021-01-11 00:21","Ram Di Dam","Flashbacks",1216
"2021-01-11 00:21","David Guetta","Love Is Gone",6570
"2021-01-11 00:21","Digitalism","Circles",1258
"2021-01-11 00:21","Drake","Pain 1993 (with Playboi Carti)",8938
"2021-01-11 01:14","Gunna","Yao Ming",32853
"2021-01-11 01:19","KRS-One","Sound of da Police",258506
"2021-01-11 01:20","Jay Sean","Down",76309
"2021-01-11 01:24","KRS-One","Sound of da Police",258506
"2021-01-11 01:28","Jay Sean","Down",212106
"2021-01-11 01:30","Malik Montana","Rundki (feat. Diho, Alberto & Bibic)",147239
"2021-01-11 01:33","¯abson","Floyd Mayweather",131984
"2021-01-11 01:37","KRS-One","Sound of da Police",258506
"2021-01-11 01:38","¯abson","Floyd Mayweather",88704
"2021-01-11 01:39","Gym Class Heroes","Cookie Jar (feat. The-Dream)",14976
"2021-01-11 01:39","KRS-One","Sound of da Police",24533
"2021-01-11 01:39","Big Boi","Shutterbugg",4437
"2021-01-11 01:39","Nelly","Ride Wit Me",15509
"2021-01-11 01:40","Jeremih","Down On Me",4458
"2021-01-11 01:40","MiMS","This Is Why I'm Hot",28032
"2021-01-11 01:40","50 Cent","Disco Inferno",9045
"2021-01-11 01:40","Timbaland","The Way I Are",13418
"2021-01-11 01:41","Wale","Chillin",7040
"2021-01-11 01:41","Fat Joe","Make It Rain",7637
"2021-01-11 01:41","Nelly","Hot In Herre",10730
"2021-01-11 01:41","Cali Swag District","Teach Me How to Dougie",5077
"2021-01-11 01:41","JAY-Z","Run This Town",15423
"2021-01-11 01:41","Lupe Fiasco","Superstar (feat. Matthew Santos)",9706
"2021-01-11 01:42","Timbaland","Carry Out (Featuring Justin Timberlake)",14186
"2021-01-11 01:42","will.i.am","I Got It From My Mama",13824
"2021-01-11 01:42","Gym Class Heroes","Cupid's Chokehold / Breakfast in America",16405
"2021-01-11 01:42","Jamie Foxx","Winner (feat. Justin Timberlake & T.I.)",10218
"2021-01-11 01:43","Chris Brown","Look At Me Now (feat. Lil' Wayne & Busta Rhymes)",44608
"2021-01-11 01:43","Chris Brown","Gimme That",9706
"2021-01-11 01:45","Flo Rida","In the Ayer (feat. will.I.am)",15573
"2021-01-11 01:45","G-Unit","I Like The Way She Do It",3050
"2021-01-11 01:45","Taio Cruz","She's Like A Star - Radio Edit",4117
"2021-01-11 01:46","T-Pain","Take Your Shirt Off",3306
"2021-01-11 01:46","Rihanna","Pon de Replay",18645
"2021-01-11 01:46","Timbaland","Bounce",23936
"2021-01-11 01:46","Chamillionaire","Hip Hop Police - Main",27711
"2021-01-11 01:47","Timbaland","Give It To Me",5162
"2021-01-11 01:47","Pitbull","Hotel Room Service",30400
"2021-01-11 01:48","Timbaland","If We Ever Meet Again (Featuring Katy Perry)",24575
"2021-01-11 01:48","Baby Bash","Cyclone (feat. T-Pain)",14442
"2021-01-11 01:48","Rihanna","SOS",10773
"2021-01-11 01:48","Chamillionaire","Ridin'",9770
"2021-01-11 01:49","Pitbull","Hey Baby (Drop It to the Floor) (feat. T-Pain)",23018
"2021-01-11 01:49","Flo Rida","Club Can't Handle Me (feat. David Guetta)",21973
"2021-01-11 01:49","Waka Flocka Flame","No Hands (feat. Roscoe Dash & Wale)",12970
"2021-01-11 01:50","Wiz Khalifa","Roll Up",17237
"2021-01-11 01:50","Birdman","Bossy",5461
"2021-01-11 01:50","DJ Felli Fel","Get Buck In Here",8810
"2021-01-11 01:50","Snoop Dogg","Boom",3114
"2021-01-11 01:50","DJ Class","I'm The Ish",4970
"2021-01-11 01:51","Will Smith","Switch",6656
"2021-01-11 01:51","Chamillionaire","I'm a Hustler",7658
"2021-01-11 01:51","Sean Paul","Get Busy",4117
"2021-01-11 01:51","Chiddy Bang","Opposite of Adults",9109
"2021-01-11 01:52","LMFAO","Yes",24000
"2021-01-11 01:52","Bow Wow","Big Dreams",10559
"2021-01-11 01:52","Kardinal Offishall","Numba 1 (Tide Is High)",14506
"2021-01-11 01:52","The Lonely Island","I Just Had Sex",9791
"2021-01-11 01:53","LMFAO","I'm In Miami Bitch",13290
"2021-01-11 01:53","T.I.","What You Know",2901
"2021-01-11 01:53","DMX","Party Up",5162
"2021-01-11 01:53","Jim Jones","Pop Champagne (feat. Juelz Santana) - Explicit Album Version",18752
"2021-01-11 01:53","Lil Jon","Snap Yo Fingers",17898
"2021-01-11 01:54","Missy Elliott","Get Ur Freak On",20864
"2021-01-11 01:54","JAY-Z","Big Pimpin'",16725
"2021-01-11 01:55","Diddy","Come To Me - feat. Nicole Scherzinger, Yung Joc, Young Dro & T.I. Explicit Version",32725
"2021-01-11 01:55","Outkast","Roses",24106
"2021-01-11 01:56","Kanye West","All Falls Down",29290
"2021-01-11 01:56","50 Cent","Window Shopper",8021
"2021-01-11 01:56","Eminem","Ass Like That",34346
"2021-01-11 01:57","Lloyd Banks","On Fire",30037
"2021-01-11 01:57","Rick Ross","The Boss",13781
"2021-01-11 01:57","T.I.","On Top Of The World",21418
"2021-01-11 01:58","Kanye West","Jesus Walks",17322
"2021-01-11 01:58","Kelis","Milkshake",7680
"2021-01-11 01:58","Chingy","Holidae In",2133
"2021-01-11 02:00","Eminem","Drug Ballad",1813
"2021-01-11 02:00","Eminem","The Way I Am",4885
"2021-01-11 02:00","Eminem","I'm Back",2730
"2021-01-11 02:00","Eminem","The Real Slim Shady",1215
"2021-01-11 02:00","Eminem","The Way I Am - Danny Lohner Remix Version",1920
"2021-01-11 02:00","Eminem","Bitch Please II",15616
"2021-01-11 02:00","Eminem","Just Lose It",86421
"2021-01-11 02:01","Eminem","Rock Bottom",3221
"2021-01-11 02:01","Eminem","Guilty Conscience",7274
"2021-01-11 02:01","Eminem","Brain Damage",13695
"2021-01-11 02:01","Eminem","As The World Turns",7551
"2021-01-11 02:01","Eminem","Soap - Skit",2495
"2021-01-11 02:01","Eminem","Under The Influence",29738
"2021-01-11 02:02","Eminem","Gnat",52842
"2021-01-11 02:02","Dr. Dre","Housewife",16682
"2021-01-11 02:02","Justin Timberlake","Summer Love",2794
"2021-01-11 02:02","Dr. Dre","Bitch Niggaz",2410
"2021-01-11 02:02","Dr. Dre","Forgot About Dre",1258
"2021-01-11 02:03","Flo Rida","In the Ayer (feat. will.I.am)",12714
"2021-01-11 02:03","Joel Corry","Head & Heart (feat. MNEK)",1130
"2021-01-11 02:03","Ram Di Dam","Flashbacks",1194
"2021-01-11 02:03","Kanye West","Homecoming",5674
"2021-01-11 02:03","Propellerheads","Spybreak! - Short One",1429
"2021-01-11 02:03","Afroman","Because I Got High - Extended Version",1642
"2021-01-11 02:03","Sean Paul","Give It Up to Me - Radio Edit",2069
"2021-01-11 02:03","T.I.","Dead And Gone",1386
"2021-01-11 02:03","T.I.","Dead And Gone",1151
"2021-01-11 02:03","KRS-One","Sound of da Police",2623
"2021-01-11 02:03","Kanye West","Real Friends",1194
"2021-01-11 02:03","Chris Brown","Gimme That",3071
"2021-01-11 02:03","Chris Brown","Gimme That",1024
"2021-01-11 02:03","Sean Kingston","Beautiful Girls",5183
"2021-01-11 02:03","Quebonafide","Kyrie eleison",2197
"2021-01-11 02:03","Lil Jon","Snap Yo Fingers",2965
"2021-01-11 02:04","David Guetta","Love Is Gone",1045
"2021-01-11 02:04","Owl City","Fireflies",1024
