"rodzaj","gracz","color","nazwa","n","typ"
"blitz","Mlodziak77","black","a",75,"Pawns_captures"
"blitz","Mlodziak77","black","b",124,"Pawns_captures"
"blitz","Mlodziak77","black","c",176,"Pawns_captures"
"blitz","Mlodziak77","black","d",275,"Pawns_captures"
"blitz","Mlodziak77","black","e",229,"Pawns_captures"
"blitz","Mlodziak77","black","f",133,"Pawns_captures"
"blitz","Mlodziak77","black","g",83,"Pawns_captures"
"blitz","Mlodziak77","black","h",75,"Pawns_captures"
"blitz","Mlodziak77","both","a",141,"Pawns_captures"
"blitz","Mlodziak77","both","b",253,"Pawns_captures"
"blitz","Mlodziak77","both","c",392,"Pawns_captures"
"blitz","Mlodziak77","both","d",469,"Pawns_captures"
"blitz","Mlodziak77","both","e",497,"Pawns_captures"
"blitz","Mlodziak77","both","f",345,"Pawns_captures"
"blitz","Mlodziak77","both","g",176,"Pawns_captures"
"blitz","Mlodziak77","both","h",149,"Pawns_captures"
"blitz","Mlodziak77","white","a",66,"Pawns_captures"
"blitz","Mlodziak77","white","b",129,"Pawns_captures"
"blitz","Mlodziak77","white","c",216,"Pawns_captures"
"blitz","Mlodziak77","white","d",194,"Pawns_captures"
"blitz","Mlodziak77","white","e",268,"Pawns_captures"
"blitz","Mlodziak77","white","f",212,"Pawns_captures"
"blitz","Mlodziak77","white","g",93,"Pawns_captures"
"blitz","Mlodziak77","white","h",74,"Pawns_captures"
"blitz","tymekkk","black","a",65,"Pawns_captures"
"blitz","tymekkk","black","b",114,"Pawns_captures"
"blitz","tymekkk","black","c",240,"Pawns_captures"
"blitz","tymekkk","black","d",158,"Pawns_captures"
"blitz","tymekkk","black","e",197,"Pawns_captures"
"blitz","tymekkk","black","f",134,"Pawns_captures"
"blitz","tymekkk","black","g",77,"Pawns_captures"
"blitz","tymekkk","black","h",63,"Pawns_captures"
"blitz","tymekkk","both","a",126,"Pawns_captures"
"blitz","tymekkk","both","b",200,"Pawns_captures"
"blitz","tymekkk","both","c",456,"Pawns_captures"
"blitz","tymekkk","both","d",294,"Pawns_captures"
"blitz","tymekkk","both","e",359,"Pawns_captures"
"blitz","tymekkk","both","f",259,"Pawns_captures"
"blitz","tymekkk","both","g",179,"Pawns_captures"
"blitz","tymekkk","both","h",133,"Pawns_captures"
"blitz","tymekkk","white","a",61,"Pawns_captures"
"blitz","tymekkk","white","b",86,"Pawns_captures"
"blitz","tymekkk","white","c",216,"Pawns_captures"
"blitz","tymekkk","white","d",136,"Pawns_captures"
"blitz","tymekkk","white","e",162,"Pawns_captures"
"blitz","tymekkk","white","f",125,"Pawns_captures"
"blitz","tymekkk","white","g",102,"Pawns_captures"
"blitz","tymekkk","white","h",70,"Pawns_captures"
"bullet","grooney","black","a",465,"Pawns_captures"
"bullet","grooney","black","b",738,"Pawns_captures"
"bullet","grooney","black","c",1652,"Pawns_captures"
"bullet","grooney","black","d",1948,"Pawns_captures"
"bullet","grooney","black","e",1700,"Pawns_captures"
"bullet","grooney","black","f",947,"Pawns_captures"
"bullet","grooney","black","g",775,"Pawns_captures"
"bullet","grooney","black","h",526,"Pawns_captures"
"bullet","grooney","both","a",887,"Pawns_captures"
"bullet","grooney","both","b",1484,"Pawns_captures"
"bullet","grooney","both","c",2878,"Pawns_captures"
"bullet","grooney","both","d",3377,"Pawns_captures"
"bullet","grooney","both","e",3899,"Pawns_captures"
"bullet","grooney","both","f",1926,"Pawns_captures"
"bullet","grooney","both","g",1586,"Pawns_captures"
"bullet","grooney","both","h",1028,"Pawns_captures"
"bullet","grooney","white","a",422,"Pawns_captures"
"bullet","grooney","white","b",746,"Pawns_captures"
"bullet","grooney","white","c",1226,"Pawns_captures"
"bullet","grooney","white","d",1429,"Pawns_captures"
"bullet","grooney","white","e",2199,"Pawns_captures"
"bullet","grooney","white","f",979,"Pawns_captures"
"bullet","grooney","white","g",811,"Pawns_captures"
"bullet","grooney","white","h",502,"Pawns_captures"
"bullet","Mlodziak77","black","a",15,"Pawns_captures"
"bullet","Mlodziak77","black","b",25,"Pawns_captures"
"bullet","Mlodziak77","black","c",38,"Pawns_captures"
"bullet","Mlodziak77","black","d",53,"Pawns_captures"
"bullet","Mlodziak77","black","e",52,"Pawns_captures"
"bullet","Mlodziak77","black","f",30,"Pawns_captures"
"bullet","Mlodziak77","black","g",15,"Pawns_captures"
"bullet","Mlodziak77","black","h",10,"Pawns_captures"
"bullet","Mlodziak77","both","a",27,"Pawns_captures"
"bullet","Mlodziak77","both","b",55,"Pawns_captures"
"bullet","Mlodziak77","both","c",73,"Pawns_captures"
"bullet","Mlodziak77","both","d",101,"Pawns_captures"
"bullet","Mlodziak77","both","e",108,"Pawns_captures"
"bullet","Mlodziak77","both","f",55,"Pawns_captures"
"bullet","Mlodziak77","both","g",35,"Pawns_captures"
"bullet","Mlodziak77","both","h",21,"Pawns_captures"
"bullet","Mlodziak77","white","a",12,"Pawns_captures"
"bullet","Mlodziak77","white","b",30,"Pawns_captures"
"bullet","Mlodziak77","white","c",35,"Pawns_captures"
"bullet","Mlodziak77","white","d",48,"Pawns_captures"
"bullet","Mlodziak77","white","e",56,"Pawns_captures"
"bullet","Mlodziak77","white","f",25,"Pawns_captures"
"bullet","Mlodziak77","white","g",20,"Pawns_captures"
"bullet","Mlodziak77","white","h",11,"Pawns_captures"
"rapid","grooney","black","a",10,"Pawns_captures"
"rapid","grooney","black","b",20,"Pawns_captures"
"rapid","grooney","black","c",66,"Pawns_captures"
"rapid","grooney","black","d",49,"Pawns_captures"
"rapid","grooney","black","e",49,"Pawns_captures"
"rapid","grooney","black","f",18,"Pawns_captures"
"rapid","grooney","black","g",20,"Pawns_captures"
"rapid","grooney","black","h",18,"Pawns_captures"
"rapid","grooney","both","a",18,"Pawns_captures"
"rapid","grooney","both","b",37,"Pawns_captures"
"rapid","grooney","both","c",98,"Pawns_captures"
"rapid","grooney","both","d",82,"Pawns_captures"
"rapid","grooney","both","e",119,"Pawns_captures"
"rapid","grooney","both","f",41,"Pawns_captures"
"rapid","grooney","both","g",45,"Pawns_captures"
"rapid","grooney","both","h",28,"Pawns_captures"
"rapid","grooney","white","a",8,"Pawns_captures"
"rapid","grooney","white","b",17,"Pawns_captures"
"rapid","grooney","white","c",32,"Pawns_captures"
"rapid","grooney","white","d",33,"Pawns_captures"
"rapid","grooney","white","e",70,"Pawns_captures"
"rapid","grooney","white","f",23,"Pawns_captures"
"rapid","grooney","white","g",25,"Pawns_captures"
"rapid","grooney","white","h",10,"Pawns_captures"
"rapid","Mlodziak77","black","a",10,"Pawns_captures"
"rapid","Mlodziak77","black","b",22,"Pawns_captures"
"rapid","Mlodziak77","black","c",41,"Pawns_captures"
"rapid","Mlodziak77","black","d",52,"Pawns_captures"
"rapid","Mlodziak77","black","e",44,"Pawns_captures"
"rapid","Mlodziak77","black","f",33,"Pawns_captures"
"rapid","Mlodziak77","black","g",16,"Pawns_captures"
"rapid","Mlodziak77","black","h",15,"Pawns_captures"
"rapid","Mlodziak77","both","a",22,"Pawns_captures"
"rapid","Mlodziak77","both","b",41,"Pawns_captures"
"rapid","Mlodziak77","both","c",80,"Pawns_captures"
"rapid","Mlodziak77","both","d",92,"Pawns_captures"
"rapid","Mlodziak77","both","e",96,"Pawns_captures"
"rapid","Mlodziak77","both","f",63,"Pawns_captures"
"rapid","Mlodziak77","both","g",31,"Pawns_captures"
"rapid","Mlodziak77","both","h",28,"Pawns_captures"
"rapid","Mlodziak77","white","a",12,"Pawns_captures"
"rapid","Mlodziak77","white","b",19,"Pawns_captures"
"rapid","Mlodziak77","white","c",39,"Pawns_captures"
"rapid","Mlodziak77","white","d",40,"Pawns_captures"
"rapid","Mlodziak77","white","e",52,"Pawns_captures"
"rapid","Mlodziak77","white","f",30,"Pawns_captures"
"rapid","Mlodziak77","white","g",15,"Pawns_captures"
"rapid","Mlodziak77","white","h",13,"Pawns_captures"
"bullet","tymekkk","black","a",0,"Pawns_captures"
"bullet","tymekkk","black","b",0,"Pawns_captures"
"bullet","tymekkk","black","c",0,"Pawns_captures"
"bullet","tymekkk","black","d",0,"Pawns_captures"
"bullet","tymekkk","black","e",0,"Pawns_captures"
"bullet","tymekkk","black","f",0,"Pawns_captures"
"bullet","tymekkk","black","g",0,"Pawns_captures"
"bullet","tymekkk","black","h",0,"Pawns_captures"
"bullet","tymekkk","white","a",0,"Pawns_captures"
"bullet","tymekkk","white","b",0,"Pawns_captures"
"bullet","tymekkk","white","c",0,"Pawns_captures"
"bullet","tymekkk","white","d",0,"Pawns_captures"
"bullet","tymekkk","white","e",0,"Pawns_captures"
"bullet","tymekkk","white","f",0,"Pawns_captures"
"bullet","tymekkk","white","g",0,"Pawns_captures"
"bullet","tymekkk","white","h",0,"Pawns_captures"
"bullet","tymekkk","both","a",0,"Pawns_captures"
"bullet","tymekkk","both","b",0,"Pawns_captures"
"bullet","tymekkk","both","c",0,"Pawns_captures"
"bullet","tymekkk","both","d",0,"Pawns_captures"
"bullet","tymekkk","both","e",0,"Pawns_captures"
"bullet","tymekkk","both","f",0,"Pawns_captures"
"bullet","tymekkk","both","g",0,"Pawns_captures"
"bullet","tymekkk","both","h",0,"Pawns_captures"
"rapid","tymekkk","black","a",0,"Pawns_captures"
"rapid","tymekkk","black","b",0,"Pawns_captures"
"rapid","tymekkk","black","c",0,"Pawns_captures"
"rapid","tymekkk","black","d",0,"Pawns_captures"
"rapid","tymekkk","black","e",0,"Pawns_captures"
"rapid","tymekkk","black","f",0,"Pawns_captures"
