id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
329,2020.11.22,19:46:19,sivipewee,tymekkk,1505,1548,180+2,E70,Kings Indian: Defense Accelerated Averbakh Variation 5...O O 6.Qd2,37,-,0-1,1,False,True,Chess.com
330,2020.11.22,19:55:23,ashalmani,tymekkk,1466,1518,180+2,A48,Indian Game: East Indian London System 3...Bg7,37,-,1-0,0,False,True,Chess.com
331,2020.11.23,13:43:54,YadiStarks1,tymekkk,1507,1505,180+2,C00,French Defense: Knight Variation 2...d5,17,-,1-0,0,False,True,Chess.com
332,2020.11.23,19:11:12,jromendez,tymekkk,1409,1505,180+2,C01,French Defense: Exchange Monte Carlo Variation,21,-,0-1,1,False,True,Chess.com
333,2020.11.23,19:19:46,Panalexis,tymekkk,1487,1535,180+2,A45,Indian Game:,36,-,0-1,1,False,True,Chess.com
334,2020.11.23,20:13:49,cheikh_ibra,tymekkk,1508,1506,180+2,B23,Sicilian Defense: Closed 2...d6,34,-,1-0,0,False,True,Chess.com
335,2020.11.24,10:25:26,Gambman,tymekkk,1577,1524,180+2,A00,Polish Opening:,34,-,0-1,1,False,True,Chess.com
336,2020.11.24,21:10:25,Audinio,tymekkk,1570,1512,180+2,C00,French Defense: Knight Variation 2...d5,28,-,1-0,0,False,True,Chess.com
337,2020.11.24,21:19:31,muntadhar,tymekkk,1544,1514,180+2,B50,Sicilian Defense: 2.Nf3 d6,15,-,1-0,0,False,True,Chess.com
338,2020.11.24,21:29:37,muntadhar,tymekkk,1543,1515,180+2,B23,Sicilian Defense: Closed 2...d6,38,-,1-0,0,False,True,Chess.com
339,2020.11.25,16:24:17,chandlerbing80,tymekkk,1517,1527,180+2,D00,Queens Pawn: Opening Mason Attack,63,-,0-1,1,False,True,Chess.com
340,2020.11.26,20:34:40,dimpro,tymekkk,1567,1573,180+2,B10,Caro Kann: Defense 2.Nf3 d5,48,-,0-1,1,False,True,Chess.com
341,2020.11.26,20:44:04,idledim,tymekkk,1538,1582,180+2,B12,Caro Kann: Defense Fantasy Variation 3...dxe4 4.fxe4,88,-,0-1,1,False,True,Chess.com
