Country_code_A3,Name,C_group_IM24_sh,dev_country,Substance,FOOD_system_stage,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015
HND,Honduras,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),37.5071,37.5071,37.5071,37.5071,37.5071,37.5071,9.7955,21.0348,29.9657,16.494,20.9419,4.3078,7.4613,119.7721,2.771,87.4692,22.4004,20.1895,23.2267,31.3797,19.7874,74.2509,5.5673,41.7795,59.7562,26.8004
HRV,Croatia,12:_Central Europe,I,GWP_100_CH4,LULUC (Production),0.3989,0.3989,0.3989,0.3989,0.3989,0.3989,0.1006,0.3643,1.7342,0.0964,0.5446,0.4169,0.3203,0.4423,0.0559,0.2898,0.0254,1.553,0.5491,0.1169,0.0203,1.4235,0.7118,0.0051,0.0915,0.3101
HTI,Haiti,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),0.0111,0.0111,0.0111,0.0111,0.0111,0.0111,0.0063,0.0043,0.0049,0.004,0.0124,0.0051,0,0,0.0079,0.0051,0.1038,0.0316,0,0,0.0079,0,0,0,0,0.0153
HUN,Hungary,12:_Central Europe,I,GWP_100_CH4,LULUC (Production),0.836,0.836,0.836,0.836,0.836,0.836,0.1235,0.1041,0.2075,0.1128,0.2736,1.9158,0.3045,0.8746,0.7121,0.0305,1.4021,2.1496,0.9712,0.1257,0,0.966,1.9407,0.0051,1.8581,0.1189
IDN,Indonesia,22:_Indonesia +,D,GWP_100_CH4,LULUC (Production),2893.6326,2893.6326,2893.6326,2893.6326,2893.6326,2893.6326,709.3391,10484.9828,2852.4166,1081.7948,327.1221,378.0878,5534.0464,1644.8796,5351.2766,2424.2202,6789.0708,457.6123,339.7754,4373.7614,254.7638,2117.1924,2268.2452,1899.624,5687.6978,6179.385
IMN,Isle of Man,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,India,18:_India +,D,GWP_100_CH4,LULUC (Production),224.6594,224.6594,224.6594,224.6594,224.6594,224.6594,49.8626,42.97,43.7427,90.2153,51.5006,58.6188,32.7028,141.0785,243.6525,136.3979,150.6843,225.8739,146.1617,455.1307,421.9329,243.8955,439.5894,261.5258,243.3365,169.3242
IRL,Ireland,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),0.0966,0.0966,0.0966,0.0966,0.0966,0.0966,0.5272,0.4057,0.4032,0.4032,0.4032,0,0,0.4341,0,0.51,0.3605,1.5331,0,0,4.5779,2.4197,0.0706,0,0,1.9177
IRN,Iran (Islamic Republic of),17:_Middle_East,D,GWP_100_CH4,LULUC (Production),0.2977,0.2977,0.2977,0.2977,0.2977,0.2977,1.2501,0.3085,0.2418,0.929,0.2407,0.0305,0.0254,0.0051,0.0051,0.0661,0.013,0.0966,0.1971,0.1044,3.5667,0.1424,0.1147,0.0203,0.2416,0.0677
IRQ,Iraq,17:_Middle_East,D,GWP_100_CH4,LULUC (Production),0.3063,0.3063,0.3063,0.3063,0.3063,0.3063,0.1278,0.0604,0.0765,0.451,0.6559,0.5843,0.0869,0,0,0,0.0079,0.013,1.6108,0.8844,0.0632,0.1658,0.0553,0.0395,0.1737,1.0107
ISL,Iceland,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0296,0.0228,0.0228,0.0228,0.0228,0,0,0,0,0,1.9348,0,0,0,0,0,0,0,0,0
ISR,Israel,17:_Middle_East,D,GWP_100_CH4,LULUC (Production),0,0,0,0,0,0,0.0005,0.0005,0.0005,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITA,Italy,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),1.9299,1.9299,1.9299,1.9299,1.9299,1.9299,0.5644,0.6303,0.7003,0.8626,1.3052,1.7573,1.9869,3.6374,0.405,0.2237,2.9146,6.4821,1.7658,2.1489,0.1169,1.9105,3.748,0.3254,0.8337,0.2339
JAM,Jamaica,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),0.6394,0.6394,0.6394,0.6394,0.6394,0.6394,0.2701,0.1876,0.2025,0.2247,0.4864,0.8195,0.2523,0.0788,0,0.2527,2.3404,1.7651,0.0158,1.6392,0.0158,0.1026,0.7092,0.8039,0.0632,0.4027
