"","Dochod_w_zl","Pierwsze_dziecko","Drugie_dziecko","Trzecie_dziecko","Czwarte_dziecko"
"368",1835,794,794,899.2,817
"369",1840,794,794,900.05,817
"370",1845,794,794,900.9,817
"371",1850,794,794,901.75,817
"372",1855,794,794,902.6,817
"373",1860,794,794,903.45,817
"374",1865,794,794,904.3,817
"375",1870,794,794,905.15,817
"376",1875,794,794,906,817
"377",1880,794,794,906.85,817
"378",1885,794,794,907.7,817
"379",1890,794,794,908.55,817
"380",1895,794,794,909.4,817
"381",1900,794,794,910.25,817
"382",1905,794,794,911.1,817
"383",1910,794,794,911.95,817
"384",1915,794,794,912.8,817
"385",1920,794,794,913.65,817
"386",1925,794,794,914.5,817
"387",1930,794,794,915.35,817
"388",1935,794,794,916.2,817
"389",1940,794,794,917.05,817
"390",1945,794,794,917.9,817
"391",1950,794,794,918.75,817
"392",1955,794,794,919.6,817
"393",1960,794,794,920.45,817
"394",1965,794,794,921.3,817
"395",1970,794,794,922.15,817
"396",1975,794,794,923,817
"397",1980,794,794,923.85,817
"398",1985,794,794,924.7,817
"399",1990,794,794,925.55,817
"400",1995,794,794,926.4,817
"401",2000,794,794,927.25,817
"402",2005,794,794,928.1,817
"403",2010,794,794,928.95,817
"404",2015,794,794,929.8,817
"405",2020,794,794,930.65,817
"406",2025,791,797,928.5,820
"407",2030,786,802,924.35,825
"408",2035,781,807,920.2,830
"409",2040,776,812,916.05,835
"410",2045,771,817,911.9,840
"411",2050,766,822,907.75,845
"412",2055,761,827,903.6,850
"413",2060,756,832,899.45,855
"414",2065,751,837,895.3,860
"415",2070,746,842,891.15,865
"416",2075,741,847,887,870
"417",2080,736,852,882.85,875
"418",2085,731,857,878.7,880
"419",2090,726,862,874.55,885
"420",2095,721,867,870.4,890
"421",2100,716,872,866.25,895
"422",2105,711,877,862.1,900
"423",2110,706,882,857.95,905
"424",2115,701,887,853.8,910
"425",2120,696,892,849.65,915
"426",2125,691,897,845.5,920
"427",2130,686,902,841.35,925
"428",2135,681,907,837.2,930
"429",2140,678,910,835.05,933
"430",2145,678,910,835.9,933
"431",2150,678,910,836.75,933
"432",2155,678,910,837.6,933
"433",2160,678,910,838.45,933
"434",2165,678,910,839.3,933
"435",2170,678,910,840.15,933
"436",2175,678,910,841,933
"437",2180,678,910,841.85,933
"438",2185,678,910,842.7,933
"439",2190,678,910,843.55,933
"440",2195,678,910,844.4,933
"441",2200,678,910,845.25,933
"442",2205,678,910,846.1,933
"443",2210,678,910,846.95,933
"444",2215,678,910,847.8,933
"445",2220,678,910,848.65,933
"446",2225,678,910,849.5,933
"447",2230,678,910,850.35,933
"448",2235,678,910,851.2,933
"449",2240,678,910,852.05,933
"450",2245,678,910,852.9,933
"451",2250,678,910,853.75,933
"452",2255,678,910,854.6,933
"453",2260,678,910,855.45,933
"454",2265,678,910,856.3,933
"455",2270,678,910,857.15,933
"456",2275,678,910,858,933
"457",2280,678,910,858.85,933
"458",2285,678,910,859.7,933
"459",2290,678,910,860.55,933
"460",2295,678,910,861.4,933
"461",2300,678,910,862.25,933
"462",2305,678,910,863.1,933
"463",2310,678,910,863.95,933
"464",2315,678,910,864.8,933
"465",2320,678,910,865.65,933
"466",2325,678,910,866.5,933
"467",2330,678,910,867.35,933
"468",2335,678,910,868,933.2
"469",2340,678,910,868,934.05
"470",2345,678,910,868,934.9
"471",2350,678,910,868,935.75
"472",2355,678,910,868,936.6
"473",2360,678,910,868,937.45
"474",2365,678,910,868,938.3
"475",2370,678,910,868,939.15
"476",2375,678,910,868,940
"477",2380,678,910,868,940.85
"478",2385,678,910,868,941.7
"479",2390,678,910,868,942.55
"480",2395,678,910,868,943.4
"481",2400,678,910,868,944.25
"482",2405,678,910,868,945.1
"483",2410,678,910,868,945.95
"484",2415,678,910,868,946.8
"485",2420,678,910,868,947.65
"486",2425,678,910,868,948.5
"487",2430,678,910,868,949.35
"488",2435,678,910,868,950.2
"489",2440,678,910,868,951.05
"490",2445,678,910,868,951.9
"491",2450,678,910,868,952.75
"492",2455,678,910,868,953.6
"493",2460,678,910,868,954.45
"494",2465,678,910,868,955.3
"495",2470,678,910,868,956.15
"496",2475,678,910,868,957
"497",2480,678,910,868,957.85
"498",2485,678,910,868,958.7
"499",2490,678,910,868,959.55
"500",2495,678,910,868,960.4
"501",2500,678,910,868,961.25
"502",2505,678,910,868,962.1
"503",2510,678,910,868,962.95
"504",2515,678,910,868,963.8
"505",2520,678,910,868,964.65
"506",2525,678,910,868,965.5
"507",2530,678,910,868,966.35
"508",2535,678,910,868,967.2
"509",2540,678,910,868,968.05
"510",2545,678,910,868,968.9
"511",2550,678,910,868,969.75
"512",2555,678,910,868,970.6
"513",2560,678,910,868,971.45
"514",2565,678,910,868,972.3
"515",2570,678,910,868,973.15
"516",2575,678,910,868,974
"517",2580,678,910,868,974.85
"518",2585,678,910,868,975.7
"519",2590,678,910,868,976.55
"520",2595,678,910,868,977.4
"521",2600,678,910,868,978.25
"522",2605,678,910,868,979.1
"523",2610,678,910,868,979.95
"524",2615,678,910,868,980.8
"525",2620,678,910,868,981.65
"526",2625,678,910,868,982.5
"527",2630,678,910,868,983.35
"528",2635,678,910,868,984.2
"529",2640,678,910,868,985.05
"530",2645,678,910,868,985.9
"531",2650,678,910,868,986.75
"532",2655,678,910,868,987.6
"533",2660,678,910,868,988.45
"534",2665,678,910,868,989.3
"535",2670,678,910,868,990.15
"536",2675,678,910,868,991
"537",2680,678,910,868,991.85
"538",2685,678,910,868,992.7
"539",2690,678,910,868,993.55
"540",2695,678,910,868,994.4
"541",2700,678,906,872,991.25
"542",2705,678,901,877,987.1
"543",2710,678,896,882,982.95
"544",2715,678,891,887,978.8
"545",2720,678,886,892,974.65
"546",2725,678,881,897,970.5
"547",2730,678,876,902,966.35
"548",2735,678,871,907,962.2
"549",2740,678,866,912,958.05
"550",2745,678,861,917,953.9
"551",2750,678,856,922,949.75
"552",2755,678,851,927,945.6
"553",2760,678,846,932,941.45
"554",2765,678,841,937,937.3
"555",2770,678,836,942,933.15
"556",2775,678,831,947,929
"557",2780,678,826,952,924.85
"558",2785,678,821,957,920.7
"559",2790,678,816,962,916.55
"560",2795,678,811,967,912.4
"561",2800,678,806,972,908.25
"562",2805,678,801,977,904.1
"563",2810,678,796,982,899.95
"564",2815,678,791,987,895.8
"565",2820,678,786,992,891.65
"566",2825,678,781,997,887.5
"567",2830,678,776,1002,883.35
"568",2835,678,771,1007,879.2
"569",2840,678,766,1012,875.05
"570",2845,678,761,1017,870.9
"571",2850,678,756,1022,866.75
"572",2855,678,751,1027,862.6
"573",2860,678,746,1032,858.45
"574",2865,678,741,1037,854.3
"575",2870,678,736,1042,850.15
"576",2875,678,731,1047,846
"577",2880,678,726,1052,841.85
"578",2885,678,721,1057,837.7
"579",2890,678,716,1062,833.55
